"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"","SEEHN","ALL","1994","64.11"
"ESP","","ALL","2012","12.14"
"EST","","ALL","2004","39.41"
"FRA","","ALL","2016","7.23"
"KAZ","","ALL","2010","143.35"
"ARM","","ALL","1981","29.8"
"","WHO_EURO","ALL","1983","38.11"
"NOR","","ALL","1986","8.23"
"UZB","","ALL","1982","51.9"
"NOR","","ALL","2007","6.01"
"","NORDIC","ALL","2003","6.23"
"NOR","","ALL","2008","6.23"
"UZB","","ALL","1994","66.27"
"AZE","","ALL","2001","60.39"
"GRC","","ALL","2014","4.4"
"","EU_AFTER_MAY2004","ALL","2004","46.2"
"AZE","","ALL","1996","33.12"
"ROU","","ALL","2015","72.91"
"UZB","","ALL","2004","78.44"
"ROU","","ALL","1984","57.25"
"UZB","","ALL","2002","81.47"
"","WHO_EURO","ALL","1994","33.08"
"BLR","","ALL","1995","47.62"
"FIN","","ALL","1996","12.59"
"FIN","","ALL","1989","19.54"
"FIN","","ALL","1993","10.7"
"PRT","","ALL","2011","23.64"
"AUT","","ALL","1981","27.23"
"BLR","","ALL","2003","60.39"
"ROU","","ALL","1990","70.05"
"ISL","","ALL","2013","3.4"
"PRT","","ALL","2012","23.68"
"ALB","","ALL","1997","19.7"
"","WHO_EURO","ALL","2006","41.28"
"MLT","","ALL","1982","3.99"
"LVA","","ALL","2012","47.14"
"LVA","","ALL","2007","55.76"
"BIH","","ALL","2000","65.61"
"GBR","","ALL","2002","11.61"
"","CARINFONET","ALL","2013","83.6"
"MLT","","ALL","2003","1.76"
"GBR","","ALL","2001","10.21"
"BIH","","ALL","2008","44.74"
"NOR","","ALL","1989","6.03"
"CYP","","ALL","2003","4.85"
"","SMALL","ALL","2011","7.93"
"EST","","ALL","1990","26.96"
"NOR","","ALL","1995","5.41"
"FRA","","ALL","1980","32.02"
"BLR","","ALL","1981","63.9"
"ISR","","ALL","2014","4.55"
"MKD","","ALL","2006","27.5"
"ISR","","ALL","2007","5.52"
"AZE","","ALL","2008","86.35"
"AZE","","ALL","2007","64.34"
"AZE","","ALL","1993","41.4"
"LTU","","ALL","2009","59.91"
"ALB","","ALL","2016","14.29"
"AZE","","ALL","1997","61.5"
"FRA","","ALL","1992","15"
"ROU","","ALL","1988","61.32"
"AUT","","ALL","2016","7.23"
"HUN","","ALL","2006","16.75"
"AND","","ALL","2014","8.24"
"PRT","","ALL","2007","28.04"
"KAZ","","ALL","2008","147.63"
"AUT","","ALL","1984","23.34"
"HUN","","ALL","1997","41.2"
"BEL","","ALL","1990","15.82"
"MLT","","ALL","1995","2.97"
"","NORDIC","ALL","1982","16.83"
"MLT","","ALL","1992","8.3"
"ESP","","ALL","2000","19.9"
"BEL","","ALL","1993","14.91"
"","WHO_EURO","ALL","2005","42.07"
"HUN","","ALL","2002","26.78"
"ALB","","ALL","2009","15.2"
"","WHO_EURO","ALL","2003","50.8"
"ALB","","ALL","1996","22.48"
"AZE","","ALL","2010","83.39"
"PRT","","ALL","1988","63.51"
"PRT","","ALL","1983","70.84"
"ESP","","ALL","1987","24.45"
"POL","","ALL","2007","21.04"
"CZE","","ALL","2008","7.74"
"ESP","","ALL","1988","21.89"
"TUR","","ALL","1996","33.31"
"GBR","","ALL","1995","10.64"
"CHE","","ALL","2007","5.56"
"TKM","","ALL","2016","38.69"
"MKD","","ALL","2005","29.36"
"UKR","","ALL","2016","65.1"
"","CIS","ALL","1997","73.39"
"SVK","","ALL","2005","13.18"
"","EU_AFTER_MAY2004","ALL","2011","31.05"
"","EU_BEFORE_MAY2004","ALL","1990","15.15"
"","EU_BEFORE_MAY2004","ALL","1994","15.26"
"RUS","","ALL","2004","84.43"
"BIH","","ALL","2016","23.86"
"","SMALL","ALL","2015","7.35"
"FRA","","ALL","1994","15.7"
"UZB","","ALL","2001","69.66"
"","SMALL","ALL","2001","10.3"
"FIN","","ALL","1991","15.38"
"","NORDIC","ALL","2008","5.89"
"","EU_MEMBERS","ALL","2004","17.76"
"AUT","","ALL","1999","13.58"
"LVA","","ALL","1980","47.54"
"GRC","","ALL","2004","6.64"
"AZE","","ALL","1983","49.21"
"ESP","","ALL","2014","10.42"
"ITA","","ALL","1988","6.28"
"GBR","","ALL","1991","10.6"
"MLT","","ALL","1980","7.55"
"","WHO_EURO","ALL","1989","31.63"
"AND","","ALL","1999","15.17"
"AND","","ALL","2001","15.13"
"","CARINFONET","ALL","2010","89.29"
"BEL","","ALL","1995","13.61"
"BEL","","ALL","1991","14.61"
"LVA","","ALL","1982","42.55"
"BEL","","ALL","2005","10.27"
"IRL","","ALL","1983","26.34"
"BIH","","ALL","2014","31.33"
"LVA","","ALL","1986","37.77"
"KGZ","","ALL","1980","54.54"
"DEU","","ALL","1991","16.85"
"SWE","","ALL","2014","6.54"
"","EU_MEMBERS","ALL","2016","10.95"
"NOR","","ALL","1987","7.33"
"FIN","","ALL","1985","37.11"
"BEL","","ALL","1986","19.19"
"FIN","","ALL","1982","44.96"
"","NORDIC","ALL","2007","5.66"
"LTU","","ALL","1994","58.38"
"","EU_AFTER_MAY2004","ALL","1986","47.18"
"SMR","","ALL","1994","8.16"
"FRA","","ALL","2015","6.98"
"","CIS","ALL","2014","70.41"
"UZB","","ALL","2007","73.62"
"","EU_MEMBERS","ALL","2015","11.24"
"","SEEHN","ALL","1993","60.4"
"","NORDIC","ALL","2011","6"
"GEO","","ALL","1986","34.62"
"","SEEHN","ALL","1989","49.94"
"AZE","","ALL","2016","52.28"
"","EU_AFTER_MAY2004","ALL","1989","41.69"
"HUN","","ALL","1994","40.25"
"","NORDIC","ALL","2009","6.33"
"","CARINFONET","ALL","2001","103.26"
"PRT","","ALL","2006","30.64"
"POL","","ALL","2013","18.52"
"RUS","","ALL","2000","97.35"
"AUT","","ALL","1993","16.03"
"DEU","","ALL","2003","8.51"
"SVK","","ALL","2007","11.52"
"GBR","","ALL","2015","9.05"
"LVA","","ALL","2010","43.53"
"NOR","","ALL","1983","9.59"
"SVK","","ALL","2002","18.13"
"GBR","","ALL","2008","13.43"
"EST","","ALL","1991","26"
"","WHO_EURO","ALL","2013","32.86"
"NOR","","ALL","2001","6.11"
"CYP","","ALL","1999","5.68"
"TKM","","ALL","1981","55.39"
"","SMALL","ALL","2013","9.05"
"TKM","","ALL","1980","57.9"
"CYP","","ALL","2010","7.31"
"NOR","","ALL","1994","5.58"
"","CIS","ALL","1986","50.85"
"MDA","","ALL","2002","104.03"
"LUX","","ALL","2000","10.03"
"AUT","","ALL","1990","19.81"
"ISR","","ALL","2005","5.35"
"POL","","ALL","1984","61.03"
"POL","","ALL","1986","55.01"
"","EU_AFTER_MAY2004","ALL","2006","41.01"
"BLR","","ALL","2016","33.87"
"","SMALL","ALL","2002","9.45"
"","SEEHN","ALL","1987","50.22"
"FRA","","ALL","1996","13.12"
"","EU_AFTER_MAY2004","ALL","1990","42.65"
"AUT","","ALL","1992","17.27"
"","NORDIC","ALL","2013","6.06"
"ALB","","ALL","2006","15.67"
"RUS","","ALL","2009","93.48"
"","WHO_EURO","ALL","1984","36.9"
"","WHO_EURO","ALL","1986","36.07"
"AUT","","ALL","2000","14.79"
"GRC","","ALL","2009","4.8"
"","NORDIC","ALL","1984","14.29"
"CHE","","ALL","1984","14.69"
"CHE","","ALL","1985","14.85"
"HUN","","ALL","1999","34.5"
"ALB","","ALL","2004","17.49"
"ALB","","ALL","2000","19.4"
"ALB","","ALL","2010","14.8"
"ALB","","ALL","2002","19.26"
"SVN","","ALL","1996","28.27"
"CZE","","ALL","2007","7.65"
"FRA","","ALL","2003","10.02"
"MNE","","ALL","2015","12.78"
"","WHO_EURO","ALL","1998","40.64"
"","WHO_EURO","ALL","1997","41"
"TUR","","ALL","1998","40.83"
"LUX","","ALL","2014","4.31"
"BEL","","ALL","1980","27.27"
"ESP","","ALL","1986","35.63"
"CHE","","ALL","2011","6.62"
"","CIS","ALL","1998","72.94"
"","CIS","ALL","1991","37.37"
"LTU","","ALL","1982","43.24"
"ALB","","ALL","1989","21.84"
"HUN","","ALL","1982","48.4"
"LTU","","ALL","1990","39.78"
"AZE","","ALL","1995","21.9"
"POL","","ALL","1981","67.09"
"SMR","","ALL","1996","0"
"RUS","","ALL","2007","89.6"
"UZB","","ALL","2009","71.93"
"FRA","","ALL","1995","15"
"FRA","","ALL","1993","16.57"
"LVA","","ALL","1983","42.11"
"CHE","","ALL","1993","13.4"
"","SMALL","ALL","2004","9.58"
"LVA","","ALL","1981","45.25"
"","WHO_EURO","ALL","2009","39.65"
"UKR","","ALL","2015","67.27"
"ALB","","ALL","2001","18.08"
"ITA","","ALL","1983","7.48"
"RUS","","ALL","2001","92.15"
"GRC","","ALL","2001","4.59"
"MLT","","ALL","1989","4.56"
"","EU_MEMBERS","ALL","2001","19.56"
"FIN","","ALL","2015","4.85"
"BEL","","ALL","1992","13.29"
"ESP","","ALL","1999","21.18"
"","EU_BEFORE_MAY2004","ALL","1984","18.18"
"DNK","","ALL","1998","9.98"
"","WHO_EURO","ALL","1991","28.59"
"IRL","","ALL","1982","27.99"
"CHE","","ALL","1998","10.55"
"MLT","","ALL","2007","9.34"
"ISL","","ALL","2010","6.92"
"","WHO_EURO","ALL","1992","29.45"
"IRL","","ALL","2014","6.35"
"DEU","","ALL","1993","17.44"
"","EU_AFTER_MAY2004","ALL","1998","53.42"
"UKR","","ALL","1996","46.04"
"LUX","","ALL","1999","8.56"
"ARM","","ALL","1986","25.47"
"","CIS","ALL","1987","49.59"
"CHE","","ALL","2009","6.5"
"NOR","","ALL","2011","6.46"
"AUT","","ALL","1991","18.39"
"POL","","ALL","1980","72.54"
"LTU","","ALL","2010","56.53"
"SMR","","ALL","1995","7.98"
"","SMALL","ALL","2003","10.28"
"ISL","","ALL","2005","3.38"
"","EU_AFTER_MAY2004","ALL","1991","42.54"
"","EU_AFTER_MAY2004","ALL","1994","52.13"
"UZB","","ALL","2005","82.21"
"","EU_BEFORE_MAY2004","ALL","2015","7.5"
"TJK","","ALL","2011","91.2"
"RUS","","ALL","2005","89.39"
"","SMALL","ALL","1990","12.72"
"","EU_MEMBERS","ALL","1997","22.18"
"","SMALL","ALL","1997","11.48"
"","CIS","ALL","1993","43.2"
"HRV","","ALL","1988","62.5"
"CYP","","ALL","2014","4.57"
"ALB","","ALL","1995","19.73"
"GBR","","ALL","1992","11.13"
"","EU_MEMBERS","ALL","2011","13.38"
"NLD","","ALL","2012","5.49"
"BIH","","ALL","2007","62.98"
"SVK","","ALL","2008","10.8"
"BIH","","ALL","2002","44.43"
"SVK","","ALL","2006","12.48"
"BIH","","ALL","1998","74.17"
"ESP","","ALL","2016","10.19"
"CYP","","ALL","2001","5.7"
"EST","","ALL","1989","26.91"
"TJK","","ALL","2005","78.97"
"POL","","ALL","2016","15.99"
"TJK","","ALL","2008","87.64"
"ISR","","ALL","1982","5.76"
"ISR","","ALL","1981","5.75"
"MNE","","ALL","2010","17.76"
"NOR","","ALL","1988","6.98"
"FIN","","ALL","1987","28.77"
"LUX","","ALL","2004","6.77"
"LUX","","ALL","2001","7.02"
"ISR","","ALL","2004","6.7"
"CYP","","ALL","2015","7.38"
"LTU","","ALL","2003","76.51"
"","EU_AFTER_MAY2004","ALL","2009","35.02"
"SMR","","ALL","1993","12.45"
"FRA","","ALL","1997","11.66"
"RUS","","ALL","2008","90.35"
"UZB","","ALL","1997","56.67"
"","SEEHN","ALL","1988","49.89"
"KAZ","","ALL","1995","68.38"
"KAZ","","ALL","2015","79.83"
"CHE","","ALL","1992","14.36"
"AZE","","ALL","1987","53.59"
"RUS","","ALL","2012","73.87"
"HUN","","ALL","1998","38.95"
"ALB","","ALL","1983","31.36"
"","NORDIC","ALL","1986","12.45"
"PRT","","ALL","2004","34.47"
"","EU_AFTER_MAY2004","ALL","1988","44.17"
"CZE","","ALL","1992","19.25"
"CZE","","ALL","1991","20.17"
"AUT","","ALL","1995","18.63"
"SVN","","ALL","2011","8.82"
"","WHO_EURO","ALL","2008","39.19"
"ALB","","ALL","1999","21.73"
"SVN","","ALL","1993","32.45"
"SVN","","ALL","1997","24.21"
"SWE","","ALL","1983","9.99"
"ESP","","ALL","1985","27.92"
"SMR","","ALL","1999","0"
"ESP","","ALL","1982","20.97"
"AZE","","ALL","2013","62.23"
"ESP","","ALL","1980","12.93"
"ITA","","ALL","1998","10.06"
"ESP","","ALL","1984","26.28"
"TUR","","ALL","1987","58.3"
"TUR","","ALL","1986","60.55"
"LUX","","ALL","2005","7.95"
"CYP","","ALL","2008","6.07"
"TKM","","ALL","1987","57.62"
"GEO","","ALL","1982","42.3"
"ISR","","ALL","2002","7.09"
"LTU","","ALL","2000","75.92"
"POL","","ALL","1982","65.38"
"","EU_BEFORE_MAY2004","ALL","1998","13.26"
"BEL","","ALL","2016","8.67"
"","EU_AFTER_MAY2004","ALL","1992","46.08"
"AZE","","ALL","1986","56.29"
"UZB","","ALL","2011","52.3"
"AUT","","ALL","1997","17.49"
"AUT","","ALL","1996","16.21"
"FRA","","ALL","1991","14.92"
"CHE","","ALL","1991","16.68"
"GEO","","ALL","1990","28.26"
"GEO","","ALL","1987","33.92"
"RUS","","ALL","1999","92.55"
"BLR","","ALL","2006","52.83"
"ARM","","ALL","2010","43.3"
"ARM","","ALL","1996","28.56"
"SRB","","ALL","2011","30.04"
"BEL","","ALL","1994","15.04"
"LUX","","ALL","2011","4.82"
"ISL","","ALL","2006","4.27"
"","SEEHN","ALL","1992","55.27"
"PRT","","ALL","2009","25.68"
"MCO","","ALL","1998","0"
"","EU_MEMBERS","ALL","1995","23.23"
"ESP","","ALL","2007","16.37"
"BEL","","ALL","2000","12.47"
"","SEEHN","ALL","1990","51.18"
"HRV","","ALL","1991","45.09"
"NLD","","ALL","2015","5.02"
"DEU","","ALL","2016","7.11"
"DNK","","ALL","2002","7.5"
"DNK","","ALL","2013","5.88"
"LVA","","ALL","1990","34.02"
"","EU_AFTER_MAY2004","ALL","1999","50.61"
"UKR","","ALL","1993","38.45"
"ESP","","ALL","1991","23.08"
"ESP","","ALL","1989","20.72"
"EST","","ALL","1999","54.81"
"GEO","","ALL","1980","41.61"
"TKM","","ALL","1992","53.93"
"TKM","","ALL","1993","69.69"
"ITA","","ALL","2015","5.73"
"","EU_BEFORE_MAY2004","ALL","1993","15.52"
"AZE","","ALL","1984","53.48"
"AND","","ALL","2016","5.78"
"CHE","","ALL","1982","18.26"
"","SMALL","ALL","2006","10.77"
"CHE","","ALL","1986","13.55"
